Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
TNPKNHI.BSTHUAN,PK Nhi - Bác sĩ Trịnh Thị Thuần,An Thắng - An Lư - Thủy Nguyên - HP,Thủy Nguyên,,04KTTDVTUAN,PK Nhi - BS Thuần,0936295168
ADPKBSTHOA,Nt pk tai mũi họng Vĩnh Khê,"Vĩnh Khê, xã An Đồng, huyện An Dương, tp Hải Phòng",An Dương,,04KTTDVTUAN,BS Thoa,0904278228
ADKMQUANGHUY,Kính mắt Quang Huy,"Ngã 3 Nguyễn Trãi, xã An Hưng, huyện An Dương, tỉnh Hải Phòng",An Dương,,04KTTDVTUAN,Tống Thị Hoàng Ngọc,0389879688
LCPKNHAKHOA,Nt pk nha khoa quân đội,"109 Hàng Kênh, Lê Chân, tp Hải Phòng",Lê Chân,,04KTTDVTUAN,Đào Quang Minh,0779251621
HBNTNUCUOI,Nt Pk nha khoa Nụ Cười,"Số 08 Mahantan đối diện Vinschool, p Thượng Lý, Hồng Bàng, tp Hải Phòng",Hồng Bàng,,04KTTDVTUAN,BS Xuân,0967655999
KANAMTIEN,Nt Pk nha khoa Nam Tiến,"170 Trần Tất Văn, quận Kiến An, tp Hải Phòng",quận Kiến An,,04KTTDVTUAN,Vũ Đức Thuần,094 3081977
KAPKTRINHHIEU,Nt Pk mắt Trịnh Văn Hiệu,"43 Trần Tất Văn, Kiến An, tp Hải Phòng",Kiến An,,04KTTDVTUAN,Trịnh Văn Hiệu,0379697825
HAPKDRTUYEN,Nt Pk nhi Ngô Gia Tự,"177/654 Ngô Gia Tự, Hải An, tp Hải Phòng",Hải An,,04KTTDVTUAN,Lương Xuân Tuyến,0983853598
TNPKBSTIEN,Nt pk nội khoa BS Tiến,"Liên Khê, Thủy Nguyên, Hải Phòng",Thủy Nguyên,,04KTTDVTUAN,BS Tiến,0989403459
KAPKBSTHU,Nt Pk bác sĩ Thụ,"38A/211 Hoàng Quốc Việt, Kiến An, Hải Phòng",Kiến An,,04KTTDVTUAN,BS Thụ,0969114118
LCPKBABYSKY,Nt Pk Baby Sky - Nguyễn Bùi Bình,"Số 4 Vĩnh Cát, Vĩnh Niệm, Lê Chân, tp Hải Phòng",Lê Chân,,04KTTDVTUAN,Nguyễn Bùi Bình,0335666665
NQPKBHUYEN,Nt PK nhi BS Huyền,"77 Văn Cao, Ngô Quyền, tp Hải Phòng",Ngô Quyền,,04KTTDVTUAN,BS Huyền,0838805889
ALDINHANH,Nt pk Đinh Ngọc ánh,"Ngã ba Khúc Giản, xã An Tiến, huyện An Lão, tp Hải Phòng",An Lão,,04KTTDVTUAN,Đinh Ngọc ánh,0988919698
